movie_odid,display_name,billing,person_odid,person,role
181330100,Penguins of Madagascar,58,945250401,Vi-Dieu Nguyen,Story Artist
181330100,Penguins of Madagascar,59,945260401,Xavier Riffault,Story Artist
181330100,Penguins of Madagascar,60,945270401,Januel Mercado,Story Artist
181330100,Penguins of Madagascar,61,764850401,Claire Morrissey,Story Artist
181330100,Penguins of Madagascar,62,945280401,Eric Ramsey,Story Artist
181330100,Penguins of Madagascar,63,945290401,Jessica Ambinder-Rojas,Associate Editor
181330100,Penguins of Madagascar,64,945360401,John Dorst,Assistant Editor
181330100,Penguins of Madagascar,65,945370401,Will Erokan,Assistant Editor
181330100,Penguins of Madagascar,66,945380401,Christa Di Falco,Assistant Editor
181330100,Penguins of Madagascar,67,945390401,Brian A. Perry,Assistant Editor
181330100,Penguins of Madagascar,68,945400401,Tiffany Hillkurtz,Associate Editor
181330100,Penguins of Madagascar,69,945410401,Lynn Hobson,Associate Editor
181330100,Penguins of Madagascar,70,329850401,Steven Liu,Associate Editor
181330100,Penguins of Madagascar,71,945430401,Chris Ayers,Character Designer
181330100,Penguins of Madagascar,72,945440401,Joe Moshier,Character Designer
181330100,Penguins of Madagascar,73,614130401,Craig Kellman,Character Designer
181330100,Penguins of Madagascar,74,945450401,Oliver Tossan,Character Designer
181330100,Penguins of Madagascar,75,945460401,Gris Grimly,Character Designer
181330100,Penguins of Madagascar,76,945470401,Jeremie Moreau,Character Designer
181330100,Penguins of Madagascar,77,945210401,Hoon H. Kim,Production Supervisor
181330100,Penguins of Madagascar,78,945420401,Ryan Genji Thomas,Production Supervisor
181330100,Penguins of Madagascar,79,764940401,Dawn Yamada,Production Supervisor
181330100,Penguins of Madagascar,80,945480401,David Edmunds,Production Supervisor
181330100,Penguins of Madagascar,81,502130401,Susan Erokan,Production Supervisor
181330100,Penguins of Madagascar,82,945500401,Rakesh Patil,Production Supervisor
181330100,Penguins of Madagascar,83,945510401,Samantha Finkler Brainerd,Production Supervisor
181330100,Penguins of Madagascar,84,946040401,Manoj Pahariya,Production Supervisor
181330100,Penguins of Madagascar,85,946060401,Aditya Deosthale,Production Supervisor
181330100,Penguins of Madagascar,86,946470401,Garrett Prince,Production Supervisor
181330100,Penguins of Madagascar,87,945520401,Rachel Hanson,Animation
181330100,Penguins of Madagascar,88,945530401,Shajo John,Animation
181330100,Penguins of Madagascar,89,945540401,Manish Kumar,Animation
181330100,Penguins of Madagascar,90,945550401,George M. Kurian,Animation
