,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
181,s182,Movie,Gemini,,,United States,2021-09-25,2017,R,93 min,"Drama, Horror, Mystery","A heinous crime tests the complex relationship between a Hollywood starlet and her tenacious personal assistant. As the assistant unravels the mystery, she must confront her own understanding of friendship, truth and celebrity."
184,s185,Movie,This World Alone,,,,2021-09-24,2018,,90 min,"Drama, Science Fiction","After a cataclysmic event leaves the Earth without technology or power, Sam â€“ a book-obsessed girl in her late teens â€“ is forced out of her protective home for the first time in an attempt to save all sheâ€™s ever known."
188,s189,Movie,Funhouse,,,,2021-09-23,2019,,106 min,Horror,"8 celebrities from around the globe are invited to compete in an online reality show, they soon realize that they are playing for their very lives, as those voted off suffer horrific consequences broadcast live to the entire world."
201,s202,Movie,Grown Ups,,,,2021-09-20,2010,TV-14,97 min,Comedy,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
207,s208,Movie,Women's College Hockey,,,,2021-09-18,2004,,,Sports,Action from NCAA women's college hockey.
211,s212,Movie,On Chesil Beach,,,,2021-09-16,2018,R,110 min,"Cooking & Food, Drama, Lifestyle & Culture","In 1962, newlyweds Edward and Florence, both in their early 20s and also both virgins, spend their honeymoon preoccupied and terrified by the upcoming consummation of their marriage."
212,s213,Movie,Riders of Justice,,,,2021-09-16,2020,,116 min,"Action, Comedy, Thriller","A recently-deployed military man (Mads Mikkelsen) returns home to care for his daughter after his wife dies in an accident. Suspecting foul play, he embarks on a revenge mission to find those responsible."
213,s214,Movie,Stalker,,,,2021-09-16,2020,,86 min,"Horror, Thriller",A young man's budding romance is threatened when he befriends an unstable ride-share driver.
214,s215,Movie,All About Nina,,,,2021-09-15,2018,R,101 min,"Comedy, Drama","Just as Nina Geldâ€™s (Mary Elizabeth Winstead) brilliant stand-up kicks her career into high gear, her romantic life gets complicated, forcing her to reckon with what it means to be creative, authentic, and a woman in todayâ€™s society."
217,s218,Movie,"Gilberto Santa Rosa, 40â€¦y Contando",,,,2021-09-15,2018,TV-PG,,"Documentaries, Latino, Music","Salsa legend Gilberto Santa Rosa takes us on a journey through his first 40 years of music, in this historic concert."
218,s219,Movie,Hitman: Agent 47,,,"United States, United Kingdom, Germany, Canada",2021-09-15,2015,R,97 min,"Action, Adventure, Crime",A genetically bred assassin joins forces with a young woman to stop a corporation looking to steal the secret of his past.
219,s220,Movie,Joseph: King of Dreams,,,,2021-09-15,2000,,75 min,"Drama, Kids",An animated epic and inspiring musical adventure that retells the classic story of a boy (voiced by Ben Affleck) with the extraordinary gift of seeing the future in his dreams.
222,s223,Movie,Los Croods 2: Una Nueva Era,,,,2021-09-15,2020,PG,95 min,"Family, Latino","En 2013, el mundo conociÃ³ a la primera familia de la era prehistÃ³rica, Los Croods. DreamWorks Animation te invita a una nueva aventura en el tiempo con Los Croods 2: Una nueva era."
223,s224,Movie,"Love, Simon",,,United States,2021-09-15,2018,PG-13,110 min,"Comedy, Drama, LGBTQ+",A closeted gay teen deals with coming out to his family and friends in this charming.coming-of-age tale.
224,s225,Movie,Maze Runner: The Death Cure,,,United States,2021-09-15,2018,PG-13,144 min,"Action, Adventure, Science Fiction","Thomas leads his group of escaped Gladers on a dangerous mission to save their friends in the finale to the ""Maze Runner"" trilogy."
225,s226,Movie,"Santana - CorazÃ³n: Live From Mexico, Live It to Believe It",,,,2021-09-15,2014,TV-14,,"Documentaries, International, Latino",Carlos Santana takes the stage in Mexico with his legendary band Santana for an electrifying concert event.
226,s227,Movie,ThalÃ­a 'Viva Tour' (En Vivo),,,,2021-09-15,2014,TV-PG,,"Documentaries, International, Latino",Mexican recording artist Thalia performs an array of tracks from throughout her career in this look at her 'Viva!' Tour.
227,s228,Movie,The King Stays King,,,,2021-09-15,2012,TV-PG,,"Documentaries, International, Latino","Romeo Santos, the self-proclaimed 'King of Bachata,' performs live at a sold-out show in Madison Square Garden."
228,s229,Movie,"Yandel: Legacy, De Lider a Leyenda Tour",,,,2021-09-15,2015,TV-14,,"Documentaries, International, Latino",Puerto Rican reggaeton legend Yandel makes a stop on his sold-out tour in Old San Juan.
230,s231,Movie,Colette,,,,2021-09-13,2018,R,112 min,"Drama, History","Colette arrives in Paris from the countryside as a young bride to Willy â€“ an older, notorious literary entrepreneur â€“ and she is immediately swept into flamboyant, libertine society and discovers she has a gift for writing."
231,s232,Movie,John Bronco Rides Again,,,,2021-09-13,2021,,26 min,Comedy,"John Bronco, the greatest pitchman of all time, is back and ready to get back into the saddle again."
234,s235,Movie,High Ground,,,,2021-09-11,2020,,105 min,"Action, Adventure, Drama","Gutjuk teams up with ex-sniper Travis to track down the most dangerous warrior in the Territory, who is also his uncle."
235,s236,Movie,Detainee 001,,,,2021-09-10,2021,TV-MA,,Documentaries,"A harrowing exploration of John Walker Lindh, 'the American Taliban.'"
239,s240,Movie,Transporter 3,,,,2021-09-10,2008,PG-13,99 min,"Action, Adventure",A mob courier becomes involved with the daughter of a Ukrainian official.
243,s244,Movie,Women of 9/11: A Special Edition of 20/20 With Robin Roberts,,,,2021-09-09,2021,,,News,"For the first time, after two decades, the women whose lives changed forever on September 11th tell their full stories of survival, pain and redemption in this landmark special hosted and executive produced by Robin Roberts."
244,s245,Movie,La La Land,,,,2021-09-08,2016,PG-13,128 min,"Comedy, Drama, Music",A jazz pianist falls in love with an aspiring actress as they both pursue their dreams of stardom in this six-time Oscar(R) winner.
247,s248,Movie,9/11 Twenty Years Later: The Longest Shadow,,,,2021-09-07,2021,,,News,This new documentary series offers an in-depth and visceral account of Sept. 11 and how it reshaped the nation using archival and first-person testimony from first responders and survivors who have now had almost two decades to reflect on the events they lived through.
249,s250,Movie,Logan,,,,2021-09-07,2017,R,138 min,"Action, Drama, Science Fiction",A broken-down Logan (Hugh Jackman) comes to the aid of a young mutant girl who is just like him in this 3rd 'Wolverine' film.
250,s251,Movie,SportsCenter,,,,2021-09-07,1979,,,Sports,"ESPN's flagship program provides sports news, highlights and analysis."
251,s252,Movie,Eyewitness to 9/11: Behind the Lens,,,,2021-09-06,2021,,,Documentaries,"The images of September 11, 2001, are seared into our memory, the moments broadcast live to the world. Now, for the first time ever, on the 20th anniversary of 9/11, we hear from the Eyewitness News journalists who were there, in the streets, in the air, and in the newsroom, reporting on the events as the nightmare unfolded, capturing the unforgettable video of that day, and risking their lives to tell the world what was happening. What began as a local news breaker on a clear blue-sky morning in lower Manhattan soon became one of the darkest days in American history. ""Eyewitness to 9/11: Behind the Lens"" documents the heart-pounding, moment-by-moment response of the Eyewitness News team at WABC-TV, with never-before-seen footage from that day and dozens of powerful interviews that resonate with raw emotion. The special takes you ""behind the lens"" of 9/11 to tell untold stories of those who were on the frontlines of newsgathering â€“ from field crews and newsroom staff to Eyewitness News anchors and reporters, past and present."
252,s253,Movie,Men's College Water Polo,,,,2021-09-04,1999,,,Sports,Action from Men's College Water Polo matches.
253,s254,Movie,Bolden,,,United States,2021-09-03,2019,R,102 min,"Drama, History, Music","BOLDEN imagines the compelling, powerful and tragic journey of Buddy Bolden, the unsung American hero who invented Jazz."
254,s255,Movie,CMA Summer Jam,,,,2021-09-03,2021,TV-PG,,Music,"Individual performances and collaborations from more than 20 of the biggest stars in country music, filmed over two nights in Nashville."
256,s257,Movie,Undine,,,,2021-09-03,2020,,90 min,"Drama, Romance",Christian Petzold boldly reimagines the ancient myth of Undine in this suspenseful tale of romance and betrayal in modern day Berlin.
257,s258,Movie,About Endlessness,,,,2021-09-02,2019,,76 min,Drama,"A dreamlike comedy of vignettes, ranging from the inconsequential to the monumental, from the mind of visionary Swedish auteur Roy Andersson (A Pigeon Sat on a Branch Reflecting on Existence)."
258,s259,Movie,Death in Texas,,,,2021-09-02,2020,,101 min,"Action, Thriller","Recently released from prison, Billy will do whatever it takes to save the only person who has stuck by him, his mother Grace who desperately needs a liver transplant and she is all out of legal options."
262,s263,Movie,The Unthinkable,,,,2021-09-02,2021,,129 min,"Action, Thriller","A city is under attack by an unknown enemy. Amidst turmoil and panic, a family must reckon with its past before itâ€™s too late â€“ for them, and for the entire country."
263,s264,Movie,Trolls: TrollsTopia,,,United States,2021-09-02,2020,4 Seasons,,"Family, Kids","Trolls: TrollsTopia! is the next chapter in the Trollsâ€™ hair-raising adventures. During the Trolls sequel, Trolls: World Tour, everything gets turned on its hair when Poppy learns there are five other musically themed Trolls tribes scattered throughout the forest. Now, armed with her endless positivity she decides to bring delegates from the Country Western, Classical, Funk, Techno, and Hard Rock tribes to live together in her village, to form a new Trolls city and promote friendship and harmony in a grand experiment she callsâ€¦ TrollsTopia! The delegates from the other villages wonâ€™t be the kings or queens we met in Trolls World Tour â€“ those characters will remain in their respective villages and continue to function as the leaders of their tribes. Instead, weâ€™re going to meet new, original characters that represent the fun features of their home tribes."
264,s265,Movie,Blue City,,,,2021-09-01,1986,R,83 min,"Action, Adventure, Horror","After a five year absence, a young man returns home with the intent of reconciling with his father. When he learns that his father has been murdered, he seeks revenge."
265,s266,Movie,Cold Creek Manor,,,,2021-09-01,2003,R,119 min,"Drama, Thriller",A New York City familyâ€™s move to a large crumbling mansion in the country takes a harrowing turn with the return of the previous owner.
266,s267,Movie,Crazy Heart,,,,2021-09-01,2009,R,112 min,"Drama, Music, Romance","With too many years of hazy days and boozy nights,former country-music legend Bad Blake (Jeff Bridges) is reduced to playing dives and bowling alleys. In town for his latest gig, Blake meets Jean Craddock (Maggie Gyllenhaal), a sympathetic reporter who has come to do a story on him. He unexpectedly warms to her and a romance begins, then the singer finds himself at a crossroads that may threaten his last shot at happiness."
267,s268,Movie,Edward Scissorhands,,,,2021-09-01,1990,PG-13,101 min,"Comedy, Drama, Romance","A gentle man, with scissors for hands, is brought into a new community after living in isolation."
268,s269,Movie,El Dorado,,,,2021-09-01,1967,TV-PG,126 min,"Action, Adventure","A gunslinger and his shotgun-wielding sidekick attempt to sober up a drunken sheriff to protect a homesteader from a greedy land baron. A classic, with James Caan, directed by Howard Hawks."
269,s270,Movie,Election,,,,2021-09-01,1999,R,103 min,Comedy,"Tracy Flick, a straight ""A"" go-getter who's determined to be president of Carver High's student body. But when popular teacher Jim McAllister observes the zealous political locomotive, he decides to derail her."
271,s272,Movie,Free Willy,,,,2021-09-01,1993,PG,111 min,"Drama, Family, Kids",Two worlds separated by water and land come together in thisheartwarming adventure about the friendship between a troubled young boy and a orca whale.
272,s273,Movie,Free Willy 2: The Adventure Home,,,,2021-09-01,1995,PG,98 min,"Drama, Family, Kids","It's been two years since a brave 12-year-old boy rescued a majestic orca whale named Willy, but their reunion is marred when an oil spill threatens Willy's pod."
